nome,significado,origem,url
Cordélia,"Significa “coração”, “joia do mar”, “coração de um leão”. 
O nome feminino Cordélia tem origem incerta. Ele aparece na peça trágica de William Shakespeare Rei Lear, escrita em 1606. Na história, Cordélia é a filha mais nova do protagonista. No século 12, o nome apareceu na forma de Cordeilla, em obras do escritor Geoffrey de Monmouth.",Latina,https://www.dicionariodenomesproprios.com.br/cordelia/
Cordula,Coração.,Latina,https://www.dicionariodenomesproprios.com.br/cordula/
Corin,"Lança, arpão de caça.",Latina,https://www.dicionariodenomesproprios.com.br/corin/
Corina,"Significa “moça”, “donzela”, “virgem”.
Tem origem no nome grego Kórinna, e deriva da versão original de Cora, do grego Kora, a partir de kóre, que significa “moça, donzela, virgem”.",Grega,https://www.dicionariodenomesproprios.com.br/corina/
Cornélia,Dama romana.,Latina,https://www.dicionariodenomesproprios.com.br/cornelia/
Cotiguara,Sócio.,Indígena,https://www.dicionariodenomesproprios.com.br/cotiguara/
Courtney,"Significa ""nariz curto"", ""narizinho"". 
Esse nome teve origem a partir de um sobrenome nobre inglês, derivado do francês Courtenay, o qual significa ""nariz curto"", ""narizinho"".","Francesa, Inglesa, Americana",https://www.dicionariodenomesproprios.com.br/courtney/
Cremilda,"Significa “a que combate protegida por um capacete”.
Tem origem no nome germânico Kriemhild, composto pela união dos elementos kreim, grim, que quer dizer “capacete” e hild, hiltia que significa “combate”.",Germânica,https://www.dicionariodenomesproprios.com.br/cremilda/
Crescência,Crescente.,Latina,https://www.dicionariodenomesproprios.com.br/crescencia/
Crescenzia,Variante de Crescência.,Italiana,https://www.dicionariodenomesproprios.com.br/crescenzia/
Crespi,Cabelos enrolados.,Grega,https://www.dicionariodenomesproprios.com.br/crespi/
Creta,Ilha grega situada no mar mediterrâneo.,Grega,https://www.dicionariodenomesproprios.com.br/creta/
Creusa,"Significa “rainha”, “princesa”, “a que domina”, “a governante” ou “a soberana”.
Creusa é um nome feminino que se originou a partir do grego kréiousa ou kréussa, que pode ser traduzido como uma posição de alto poder social, como “soberana”, “rainha” ou “aquela que governa”.",Grega,https://www.dicionariodenomesproprios.com.br/creusa/
Creuza,"Significa “soberana”, “rainha”, “princesa”.
É uma variante gráfica de Creuda, que tem origem no grego Kréiousa e significa “soberana, rainha, princesa”.",Grega,https://www.dicionariodenomesproprios.com.br/creuza/
Cris,"Significa “cristã”, “a ungida” ou “o portador do Cristo”, “o que carrega o Cristo”.
É o diminutivo de nomes que começam com cris, como Cristina, Cristiana, Cristiano ou Cristóvão. Apesar de muito comum como apelido femininos, é utilizado em ambos os sexos.","Grega, Latina",https://www.dicionariodenomesproprios.com.br/cris/
Crislaine,"Significa “cristã reluzente”, “seguidora de Cristo resplandecente”, ""aquela que se assemelha a Cristo e que resplandece"", “ungida pelo Senhor e reluzente”.
Crislaine é um nome moderno, cuja invenção é brasileira. Ele resulta da junção de Cristiane e Elaine; nesse sentido, carrega o mesmo significado que cada um desses nomes.","Grega, Latina, Francesa",https://www.dicionariodenomesproprios.com.br/crislaine/
Cristal,"Significa exatamente isso, ""cristal"", mas também pode significar ""gelo"", ""pura"", ""pureza"", ""límpido"" ou ""aquela que guarda Cristo dentro de si"".
A palavra em português ""cristal"", refere-se ao sólido com faces planas por vezes de origem mineral, e muitas vezes translúcido.",Grega,https://www.dicionariodenomesproprios.com.br/cristal/
Cristália,A que brilha como cristal.,Latina,https://www.dicionariodenomesproprios.com.br/cristalia/
Cristiana,"Significa ""cristã"", ""seguidora de Cristo"" ou ""aquela que se assemelha a Cristo"". 
Cristiana é o feminino de Cristiano, que vem do grego Christós​, e signfica ""cristã"". O equivalente dessa palavra em português é ""Cristo"" e significa literalmente ""ungido"".","Grega, Latina",https://www.dicionariodenomesproprios.com.br/cristiana/
Cristiane,"Significa “cristã”, “seguidora de Cristo”, ""aquela que se assemelha a Cristo"", “ungida pelo Senhor”.
A escolha desse bonito nome feminino destaca os atributos que possivelmente serão recebidos por alguém que seja ungido por Cristo (características de excelência ou perfeição).",Latina,https://www.dicionariodenomesproprios.com.br/cristiane/
Cristina,"Significa “cristã” ou “ungida por Deus”.
O nome Cristina é a variante feminina de Cristino, que tem o mesmo sentido que Cristiano.","Grega, Latina",https://www.dicionariodenomesproprios.com.br/cristina/
Cunina,Divindade que velava o sono dos bebês que dormiam.,Mitológica,https://www.dicionariodenomesproprios.com.br/cunina/
Cyndi,"Significa “do Cinto”, ""nascida em Cinto"", ""aquela que tem origem em Cinto"", ""mulher de Cinto"".
Cyndi é o diminutivo inglês do nome Cynthia, variante de Cíntia.","Grega, Mitológica, Inglesa",https://www.dicionariodenomesproprios.com.br/cyndi/
Cynthia,"Significa ""aquela que nasceu em Cintos"", ""aquela que vem do monte Cintos"", “mulher de Cintos”.
Tem origem no nome grego Kynthia e chegou até à nossa língua através do latim Cynthia, que significa “do Cinto”.","Grega, Latina, Mitológica, Americana",https://www.dicionariodenomesproprios.com.br/cynthia/
Dácia,País do leste da europa.,Grega,https://www.dicionariodenomesproprios.com.br/dacia/
Dafne,"Significa ""louro"", ""loureiro"".
Tem origem no grego daphne​, que quer dizer literalmente ""louro"", ""loureiro"".",Grega,https://www.dicionariodenomesproprios.com.br/dafne/
Dagmar,"Significa ""glória do dia"", ou ""criada do dia"", ""camareira do dia"".
É um nome de origem obscura, que pode ter vindo da união do elemento sueco dag, que significa ""dia"" com o germânico mar que quer dizer ""glória"", significando ""glória do dia"".","Germânica, Sueca, Nórdica",https://www.dicionariodenomesproprios.com.br/dagmar/
Dagmara,Aquela que possui o esplendor do dia.,Latina,https://www.dicionariodenomesproprios.com.br/dagmara/
Dagny,Novo dia. Dag,Teutônica,https://www.dicionariodenomesproprios.com.br/dagny/
Daiana,"Significa “divina”, “brilhante”, “iluminada”.
Tem origem do latim Diana, que literalmente significa “divina”. Sua forma arcaica era Diviana, cujo significado literal é “da natureza de Divia”.","Latina, Espanhola",https://www.dicionariodenomesproprios.com.br/daiana/
Daiane,"Significa ""divina"", ""brilhante"", “iluminada”.
Daiane é a tradução fonética de Diane.","Latina, Francesa",https://www.dicionariodenomesproprios.com.br/daiane/
Daina,"Significa ""música"".
Como um nome próprio diferente, ele significa ""música"" em lituano e letão, tem origem a partir da palavra dainos, que quer dizer ""músicas"".",Lituana,https://www.dicionariodenomesproprios.com.br/daina/
Daíra,"Oceânida, uniu-se a mercúrio e teve um filho.",Grega,https://www.dicionariodenomesproprios.com.br/daira/
Daisy,"Significa “olho do dia”, “flor”.
Tem origem no inglês e surgiu a partir das palavras do inglês antigo daeges ege, daeges eage, que significam literalmente “olho do dia”.",Britânica,https://www.dicionariodenomesproprios.com.br/daisy/
Dakarai,Felicidade.,Africana,https://www.dicionariodenomesproprios.com.br/dakarai/
Dakota,"Significa “amigo (a)”, amigável”, “aliado (a)”.
Dakota é um nome de origem indígena que significa “amigo”, “aliado”.",Indígena,https://www.dicionariodenomesproprios.com.br/dakota/
Dale,O que gosta de viver.,Inglesa,https://www.dicionariodenomesproprios.com.br/dale/
Dália,"Significa “do vale” ou “bela flor mexicana”.
Dália é um nome feminino, originado a partir do germânico Dahl ou Dahle, que significa literalmente “vale”, nos dialetos falados no norte da Alemanha. Assim, a interpretação literal deste nome pode ser entendida como “do vale” ou “aquela que pertence ao vale”.","Latina, Germânica",https://www.dicionariodenomesproprios.com.br/dalia/
Dalila,"Significa ""doce"", ""dócil"", ""delicada"", ""frágil"", ""lânguida"", ""oscilante"". 
A origem do nome Dalila é hebraica, e na Bíblia, no Antigo Testamento, é o interesse amoroso de Sansão, um dos juízes do povo israelita.",Hebraica,https://www.dicionariodenomesproprios.com.br/dalila/
Dalmira,Forma feminina de Dalmiro.,Latina,https://www.dicionariodenomesproprios.com.br/dalmira/
Dalva,"Significa ""da manhã"", ""da aurora"" ou ""branca"".
O nome Dalva começou por ser inicialmente ""da Alva"", passando depois para ""d'Alva"" até chegar finalmente a sua forma atual.",Latina,https://www.dicionariodenomesproprios.com.br/dalva/
Dalvina,Hipocorístico de Dalva.,Latina,https://www.dicionariodenomesproprios.com.br/dalvina/
Dalziza,Variante de Adalgisa.,Teutônica,https://www.dicionariodenomesproprios.com.br/dalziza/
Damarina,Mulher pequena.,Hebraica,https://www.dicionariodenomesproprios.com.br/damarina/
Damiana,"Significa “domadora”, “vencedora”, “aquela que subjuga” ou “consagrada ao culto de Damia”.
É a variante feminina de Damião, nome com dois possíveis étimos, um a partir do latim Damianu, este derivado do grego Damianós, a partir da palavra damáo, que quer dizer “domar, vencer, subjugar”.","Grega, Latina",https://www.dicionariodenomesproprios.com.br/damiana/
Dana,Forma feminina e diminutiva de Daniela.,Hebraica,https://www.dicionariodenomesproprios.com.br/dana/
Dandara,"Significa “princesa guerreira” ou “princesa negra”.
O significado do nome Dandara é desconhecido, mas de acordo com a história do Brasil Colonial, esta teria sido uma negra escrava guerreira, esposa da emblemática figura do Zumbi dos Palmares, e mãe de três filhos dele.",Afro-Brasileira,https://www.dicionariodenomesproprios.com.br/dandara/
Daniela,"Significa ""Deus é meu juiz"" ou ""É o Senhor quem me julga"".
Daniela é a versão feminina do nome Daniel, que surgiu a partir do hebraico Danyyel, formado pela junção dos elementos dan, que significa literalmente ""juiz”, e El, quer dizer ""Deus”.",Hebraica,https://www.dicionariodenomesproprios.com.br/daniela/
Daniela Helena,"Sofisticada e exigente, destaca-se pelo bom gosto e pela elegância que demonstra no dia-a-dia.",,https://www.dicionariodenomesproprios.com.br/daniela-helena/
